City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Shache,CN,2022-04-30 16:16:52,38.4167,77.2406,67.42,19,42,11.48
97,Airai,TL,2022-04-30 16:16:53,-8.9266,125.4092,60.12,89,93,3.22
98,Gimli,CA,2022-04-30 16:16:53,50.6336,-96.9907,35.62,100,100,18.41
99,Jaisalmer,IN,2022-04-30 16:16:54,26.9147,70.9181,101.57,11,1,5.23
100,Puerto Ayora,EC,2022-04-30 16:12:34,-0.7393,-90.3518,76.96,83,37,9.89
101,Port Hardy,CA,2022-04-30 16:15:33,50.6996,-127.4199,50.18,76,75,8.05
102,Fortuna,US,2022-04-30 16:16:54,40.5982,-124.1573,52.72,93,100,1.99
103,Leningradskiy,RU,2022-04-30 16:16:54,69.3833,178.4167,4.39,97,96,5.68
104,Maumere,ID,2022-04-30 16:16:55,-8.6199,122.2111,80.67,81,96,2.44
105,Pevek,RU,2022-04-30 16:16:55,69.7008,170.3133,-6.47,100,97,1.72
106,Miguel Hidalgo,MX,2022-04-30 16:16:11,19.4225,-99.2028,71.58,40,0,2.3
107,Sorland,NO,2022-04-30 16:16:56,67.667,12.6934,37.22,56,61,3.89
108,Katangli,RU,2022-04-30 16:16:56,51.7102,143.2326,30.06,98,100,8.97
109,Oriximina,BR,2022-04-30 16:15:16,-1.7656,-55.8661,80.58,87,70,4.85
110,Soc Trang,VN,2022-04-30 16:16:57,9.6033,105.98,81.03,81,100,5.73
111,Ribeira Grande,PT,2022-04-30 16:16:57,38.5167,-28.7,66.6,77,75,9.22
112,Palmer,US,2022-04-30 16:16:57,42.1584,-72.3287,60.51,29,20,12.66
113,Raudeberg,NO,2022-04-30 16:16:58,61.9875,5.1352,46.96,76,89,2.82
114,Skibbereen,IE,2022-04-30 16:16:58,51.55,-9.2667,55.11,74,100,8.14
115,Nabire,ID,2022-04-30 16:16:59,-3.3667,135.4833,76.41,92,88,3.44
116,Rawson,AR,2022-04-30 16:13:36,-43.3002,-65.1023,57.88,37,89,18.19
117,Taos,US,2022-04-30 16:16:59,36.4072,-105.5731,58.19,18,0,1.01
118,Ancud,CL,2022-04-30 16:17:00,-41.8697,-73.8203,50.22,71,28,4.0
119,Paramonga,PE,2022-04-30 16:17:00,-10.6667,-77.8333,71.11,76,90,8.66
120,Lavrentiya,RU,2022-04-30 16:17:01,65.5833,-171.0,23.76,89,100,10.51
121,Ossora,RU,2022-04-30 16:17:01,59.2353,163.0719,17.02,90,37,6.49
122,Chokurdakh,RU,2022-04-30 16:17:01,70.6333,147.9167,7.07,96,32,7.05
123,Bathsheba,BB,2022-04-30 16:13:08,13.2167,-59.5167,84.81,70,40,17.27
124,Trelew,AR,2022-04-30 16:14:28,-43.249,-65.3051,58.71,33,81,20.27
125,Krasnokamensk,RU,2022-04-30 16:17:02,50.0979,118.0369,36.61,31,63,2.35
126,Muros,ES,2022-04-30 16:17:02,42.7762,-9.0603,77.68,73,8,3.58
127,Bageshwar,IN,2022-04-30 16:17:03,29.85,79.7667,71.17,41,88,4.56
128,Pisco,PE,2022-04-30 16:13:29,-13.7,-76.2167,72.01,73,0,5.75
129,Kassala,SD,2022-04-30 16:17:03,15.451,36.4,100.18,10,8,10.31
130,Tasiilaq,GL,2022-04-30 16:17:04,65.6145,-37.6368,44.76,45,59,13.71
131,Faya,SA,2022-04-30 16:17:04,18.3851,42.4509,69.91,40,15,6.91
132,Ixtapa,MX,2022-04-30 16:14:32,20.7,-105.2,78.03,31,20,4.61
133,Luderitz,NA,2022-04-30 16:12:39,-26.6481,15.1594,63.46,62,0,21.74
134,Paraopeba,BR,2022-04-30 16:17:05,-19.2757,-44.4033,85.17,32,1,4.74
135,Doka,SD,2022-04-30 16:17:05,13.5167,35.7667,100.69,7,62,6.06
136,Vila,PT,2022-04-30 16:17:06,42.0304,-8.1588,68.7,46,10,8.19
137,Shaoyang,CN,2022-04-30 16:17:06,27.2315,111.4525,55.56,89,100,3.53
138,Pangnirtung,CA,2022-04-30 16:17:06,66.1451,-65.7125,21.2,63,100,3.44
139,Honningsvag,NO,2022-04-30 16:17:07,70.9821,25.9704,29.95,69,100,8.05
140,Tuatapere,NZ,2022-04-30 16:14:26,-46.1333,167.6833,57.97,71,100,9.57
141,Zalesovo,RU,2022-04-30 16:17:07,53.9939,84.7431,58.68,43,14,6.55
142,Vardo,NO,2022-04-30 16:17:08,70.3705,31.1107,29.86,65,100,16.51
143,Kostino,RU,2022-04-30 16:17:08,58.9097,53.2691,36.5,79,100,5.44
144,Lompoc,US,2022-04-30 16:13:58,34.6391,-120.4579,71.94,70,0,23.0
145,Paveh,IR,2022-04-30 16:17:09,35.0434,46.3565,57.22,59,12,3.47
146,Valley City,US,2022-04-30 16:17:09,46.9233,-98.0032,39.72,100,100,12.66
147,Butaritari,KI,2022-04-30 16:17:10,3.0707,172.7902,80.65,82,92,12.33
148,Faanui,PF,2022-04-30 16:17:11,-16.4833,-151.75,80.56,74,34,17.29
149,Henties Bay,NA,2022-04-30 16:17:11,-22.116,14.2845,61.3,75,0,11.21
150,Torbay,CA,2022-04-30 16:17:12,47.6666,-52.7314,41.76,96,100,5.75
151,Yongchang,CN,2022-04-30 16:17:12,30.0381,119.7317,57.58,96,100,1.79
152,Benguela,AO,2022-04-30 16:17:13,-12.5763,13.4055,80.04,80,93,5.46
153,Taoudenni,ML,2022-04-30 16:17:13,22.6783,-3.9836,94.57,10,0,8.16
154,Port Macquarie,AU,2022-04-30 16:17:14,-31.4333,152.9167,60.89,84,100,10.38
155,Husavik,IS,2022-04-30 16:17:14,66.0449,-17.3389,52.25,48,77,3.98
156,Alterosa,BR,2022-04-30 16:17:14,-21.2492,-46.1431,75.63,60,48,7.2
157,Saint-Philippe,RE,2022-04-30 16:17:15,-21.3585,55.7679,78.39,79,45,11.32
158,Sao Joao Da Barra,BR,2022-04-30 16:17:15,-21.6403,-41.0511,86.09,64,12,6.73
159,Dubbo,AU,2022-04-30 16:17:16,-32.25,148.6167,44.73,93,0,5.75
160,Tongliao,CN,2022-04-30 16:17:16,43.6125,122.2653,45.45,25,97,4.7
161,Talcahuano,CL,2022-04-30 16:17:16,-36.7167,-73.1167,53.28,66,0,9.22
162,Chuy,UY,2022-04-30 16:17:17,-33.6971,-53.4616,61.9,53,67,4.29
163,Tessalit,ML,2022-04-30 16:17:17,20.1986,1.0114,98.33,6,2,20.76
