City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
100,Hithadhoo,MV,85.06,overcast clouds,-0.6,73.0833,Scoop Guest House
102,Enshi,CN,55.36,overcast clouds,30.3,109.4833,Moevenpick Enshi
103,Roebourne,AU,74.98,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
104,San Fernando,PH,87.53,broken clouds,15.0286,120.6898,Maharlika Hostel
105,Dunedin,NZ,61.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
106,Puerto Penasco,MX,77.92,overcast clouds,31.3167,-113.5333,Playa Bonita Resort
107,Korla,CN,56.26,clear sky,41.7597,86.1469,Gulisitan Hotel
108,Vrede,ZA,44.19,clear sky,-27.4257,29.1659,Vrede Hotel
109,Mahibadhoo,MV,85.14,overcast clouds,3.7833,72.9667,Omadhoo Inn
110,Faya,SA,64.51,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
112,Talnakh,RU,20.21,overcast clouds,69.4865,88.3972,Talnakh Hotel
113,Mujiayingzi,CN,45.5,overcast clouds,42.1167,118.7833,Jinjiang Hotel
114,Svay Rieng,KH,79.34,overcast clouds,11.0879,105.7993,Apsara guesthouse
116,Nieuw Amsterdam,SR,82.42,clear sky,5.8833,-55.0833,Hotel Stardust
117,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
118,Kampot,KH,77.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
119,Seoul,KR,54.97,mist,37.5683,126.9778,롯데호텔 서울
120,Sao Filipe,CV,73.44,overcast clouds,14.8961,-24.4956,Hotel Xaguate
121,Strezhevoy,RU,26.13,clear sky,60.7333,77.5889,Sibiryachka
122,Shadegan,IR,76.95,clear sky,30.6497,48.6647,مسافر خانه ابو ولید
123,College,US,54.99,few clouds,64.8569,-147.8028,Pike's Waterfront Lodge
124,Klyuchi,RU,56.34,broken clouds,52.2667,79.1667,Vesolaya Mayovka
125,Luzhou,CN,54.84,overcast clouds,28.8724,105.4405,Shijichun Hotel
126,Longyearbyen,SJ,10.24,clear sky,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
127,Pirgos,GR,65.62,clear sky,35.1167,25.7178,Elpida Village
128,Severo-Kurilsk,RU,35.65,overcast clouds,50.6789,156.125,Kak Doma
